line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
599,,,,,,,,0.0815259973621032,0.09808089758845008,3271.0,0.9775851763299462,0.0,,0.006739368852708291
606,,,,,,,,-0.11253311106588626,0.08750949504452789,58.0,0.017334130304841603,0.0,,0.001405193772263704
614,,,,,,,,-0.14637217917348444,0.22679442857359033,68.0,0.020322773460848775,0.0,,0.9758377152922584
631,,,,,,,,-0.007683801581698901,0.2468067527381916,200.0,0.05977286312014345,0.0,,0.023218061989065536
639,,,,,,,,-1.6287924852420588e-05,0.12999939427367102,354.0,0.10579796772265392,0.0,,0.00682352179111681
659,,,,,,,,0.24320071296149237,0.12420041669716368,49.0,0.014644351464435146,0.0,,0.0011635865005882678
664,,,,,,,,-0.07218656429965975,0.13411008978571493,45.0,0.013448894202032277,0.0,,0.9988875404606592
667,,,,,,,,0.375308734474622,0.194466334742417,309.0,0.09234907352062163,0.0,,0.00645326927625149
674,,,,,,,,-0.10283611977319751,0.1775424888573074,627.0,0.18738792588164974,0.0,,0.016755998234249
679,,,,,,,,0.0518929486240971,0.0975028625214147,208.0,0.062163777644949195,0.0,,0.003905722583538334
